scenario,trial,qber,key_rate,sifted_length,is_secure,timestamp
No Eavesdropping,1,0.0,0.5,500,True,2025-05-12T17:46:05.384008
No Eavesdropping,2,0.0,0.511,511,True,2025-05-12T17:46:05.713845
No Eavesdropping,3,0.0,0.522,522,True,2025-05-12T17:46:06.009608
No Eavesdropping,4,0.0,0.531,531,True,2025-05-12T17:46:06.309057
No Eavesdropping,5,0.0,0.485,485,True,2025-05-12T17:46:06.602402
No Eavesdropping,6,0.0,0.495,495,True,2025-05-12T17:46:06.904868
No Eavesdropping,7,0.0,0.52,520,True,2025-05-12T17:46:07.210408
No Eavesdropping,8,0.0,0.511,511,True,2025-05-12T17:46:07.547542
No Eavesdropping,9,0.0,0.493,493,True,2025-05-12T17:46:07.864238
No Eavesdropping,10,0.0,0.494,494,True,2025-05-12T17:46:08.279622
No Eavesdropping,11,0.0,0.509,509,True,2025-05-12T17:46:08.587161
No Eavesdropping,12,0.0,0.47,470,True,2025-05-12T17:46:08.898956
No Eavesdropping,13,0.0,0.515,515,True,2025-05-12T17:46:09.224907
No Eavesdropping,14,0.0,0.491,491,True,2025-05-12T17:46:09.522873
No Eavesdropping,15,0.0,0.521,521,True,2025-05-12T17:46:09.826598
No Eavesdropping,16,0.0,0.524,524,True,2025-05-12T17:46:10.167611
No Eavesdropping,17,0.0,0.496,496,True,2025-05-12T17:46:10.493911
No Eavesdropping,18,0.0,0.522,522,True,2025-05-12T17:46:10.795373
No Eavesdropping,19,0.0,0.508,508,True,2025-05-12T17:46:11.214965
No Eavesdropping,20,0.0,0.509,509,True,2025-05-12T17:46:11.530380
With Eavesdropping,1,0.18,0.513,513,False,2025-05-12T17:46:12.180971
With Eavesdropping,2,0.16,0.467,467,False,2025-05-12T17:46:12.818532
With Eavesdropping,3,0.34,0.495,495,False,2025-05-12T17:46:13.443724
With Eavesdropping,4,0.22,0.488,488,False,2025-05-12T17:46:14.206440
With Eavesdropping,5,0.24,0.511,511,False,2025-05-12T17:46:14.842498
With Eavesdropping,6,0.12,0.492,492,False,2025-05-12T17:46:15.472491
With Eavesdropping,7,0.24,0.499,499,False,2025-05-12T17:46:16.108026
With Eavesdropping,8,0.34,0.472,472,False,2025-05-12T17:46:16.838781
With Eavesdropping,9,0.3,0.499,499,False,2025-05-12T17:46:17.476650
With Eavesdropping,10,0.26,0.488,488,False,2025-05-12T17:46:18.123362
With Eavesdropping,11,0.22,0.497,497,False,2025-05-12T17:46:18.751461
With Eavesdropping,12,0.38,0.472,472,False,2025-05-12T17:46:19.513461
With Eavesdropping,13,0.3,0.477,477,False,2025-05-12T17:46:20.141099
With Eavesdropping,14,0.34,0.492,492,False,2025-05-12T17:46:20.771839
With Eavesdropping,15,0.24,0.513,513,False,2025-05-12T17:46:21.400338
With Eavesdropping,16,0.2,0.496,496,False,2025-05-12T17:46:22.065710
With Eavesdropping,17,0.24,0.487,487,False,2025-05-12T17:46:22.857359
With Eavesdropping,18,0.3,0.494,494,False,2025-05-12T17:46:23.495417
With Eavesdropping,19,0.32,0.498,498,False,2025-05-12T17:46:24.123791
With Eavesdropping,20,0.26,0.494,494,False,2025-05-12T17:46:24.815034
